disease,scenario,replication,cumulative_attack_rate,peak_incidence,peak_timing,epidemic_duration,hospital_days,total_infections,R_eff_final
ebola,patient_ai,39,0.0148,24.0,27.0,128.0,759.24,148.0,1.7733600000000003
ebola,patient_ai,40,0.023,17.0,48.0,250.0,1344.44,230.0,1.7586
ebola,patient_ai,41,0.0121,31.0,19.0,98.0,640.6800000000001,121.0,1.7782200000000001
ebola,patient_ai,42,0.0038,10.0,2.0,57.0,190.0,38.0,1.7931600000000003
ebola,patient_ai,43,0.0095,20.0,26.0,86.0,514.52,95.0,1.7829
ebola,patient_ai,44,0.0134,26.0,28.0,98.0,753.9199999999998,134.0,1.77588
ebola,patient_ai,45,0.0033,10.0,9.0,50.0,186.2,33.0,1.7940600000000002
ebola,patient_ai,46,0.0295,29.0,37.0,171.0,1632.48,295.0,1.7469
ebola,patient_ai,47,0.0217,27.0,33.0,151.0,1223.6,217.0,1.7609400000000002
ebola,patient_ai,48,0.0062,12.0,20.0,131.0,357.96000000000004,62.0,1.7888400000000002
ebola,patient_ai,49,0.0033,14.0,6.0,53.0,207.48000000000002,33.0,1.7940600000000002
ebola,patient_ai,50,0.0084,14.0,9.0,137.0,463.59999999999997,84.0,1.78488
ebola,patient_ai,51,0.0233,30.0,128.0,201.0,1367.2400000000002,233.0,1.7580600000000002
ebola,patient_ai,52,0.0058,12.0,49.0,84.0,354.9199999999999,58.0,1.7895600000000003
ebola,patient_ai,53,0.0061,18.0,17.0,58.0,377.7199999999999,61.0,1.78902
ebola,patient_ai,54,0.0609,46.0,121.0,258.0,3511.9599999999996,609.0,1.69038
ebola,patient_ai,55,0.0208,25.0,22.0,187.0,1166.6,208.0,1.7625600000000001
ebola,patient_ai,56,0.0281,30.0,50.0,167.0,1605.8799999999999,281.0,1.74942
ebola,patient_ai,57,0.0149,18.0,9.0,137.0,843.5999999999999,149.0,1.77318
ebola,patient_ai,58,0.0152,16.0,150.0,188.0,909.72,152.0,1.7726400000000002
ebola,patient_ai,59,0.0097,22.0,28.0,113.0,527.44,97.0,1.7825400000000002
ebola,patient_ai,60,0.0074,16.0,31.0,85.0,437.0,74.0,1.7866799999999998
ebola,patient_ai,61,0.0576,33.0,310.0,364.0,3367.5599999999995,576.0,1.69218
ebola,patient_ai,62,0.0116,23.0,35.0,96.0,755.4399999999999,116.0,1.77912
ebola,patient_ai,63,0.0148,20.0,41.0,109.0,842.8399999999999,148.0,1.7733600000000003
ebola,patient_ai,64,0.072,38.0,56.0,344.0,4045.48,720.0,1.6704
ebola,patient_ai,65,0.0145,24.0,29.0,122.0,810.9200000000001,145.0,1.7739
ebola,patient_ai,66,0.0104,17.0,56.0,93.0,568.4799999999999,104.0,1.78128
ebola,patient_ai,67,0.0138,21.0,12.0,125.0,823.0799999999999,138.0,1.7751600000000003
ebola,patient_ai,68,0.0063,19.0,16.0,91.0,340.4799999999999,63.0,1.7886600000000001
ebola,patient_ai,69,0.0079,16.0,39.0,133.0,440.79999999999995,79.0,1.78578
ebola,patient_ai,70,0.0155,17.0,17.0,254.0,918.84,155.0,1.7721
ebola,patient_ai,71,0.0142,23.0,43.0,125.0,784.32,142.0,1.7744400000000002
ebola,patient_ai,72,0.0054,10.0,15.0,86.0,288.8,54.0,1.7902799999999999
ebola,patient_ai,73,0.0194,23.0,19.0,195.0,1194.7199999999998,194.0,1.76508
ebola,patient_ai,74,0.0078,16.0,32.0,76.0,458.28,78.0,1.7859600000000002
ebola,patient_ai,75,0.0083,18.0,34.0,104.0,465.12,83.0,1.7850600000000003
ebola,patient_ai,76,0.0084,22.0,20.0,65.0,484.12,84.0,1.78488
ebola,patient_ai,77,0.0168,20.0,15.0,163.0,985.7199999999999,168.0,1.7697600000000002
ebola,patient_ai,78,0.0085,13.0,26.0,110.0,443.08000000000004,85.0,1.7847
ebola,patient_ai,79,0.027,32.0,32.0,171.0,1588.4,270.0,1.7514
ebola,patient_ai,80,0.0053,11.0,25.0,107.0,314.64,53.0,1.7904600000000002
ebola,patient_ai,81,0.0164,19.0,139.0,203.0,891.4800000000001,164.0,1.7704799999999998
ebola,patient_ai,82,0.0215,22.0,50.0,182.0,1230.44,215.0,1.7613
ebola,patient_ai,83,0.0559,53.0,77.0,207.0,3211.76,559.0,1.69938
ebola,patient_ai,84,0.0075,17.0,36.0,64.0,399.76,75.0,1.7865
ebola,patient_ai,85,0.029,30.0,60.0,156.0,1580.7999999999997,290.0,1.7478
ebola,patient_ai,86,0.0113,14.0,25.0,128.0,658.9200000000001,113.0,1.7796600000000002
ebola,patient_ai,87,0.0126,16.0,17.0,132.0,702.24,126.0,1.77732
ebola,patient_ai,88,0.0168,21.0,24.0,133.0,971.28,168.0,1.7697600000000002
ebola,patient_ai,89,0.0078,17.0,25.0,94.0,449.16,78.0,1.7859600000000002
ebola,patient_ai,90,0.006,22.0,23.0,80.0,325.28,60.0,1.7892
ebola,patient_ai,91,0.034,21.0,73.0,263.0,1872.64,340.0,1.7388
ebola,patient_ai,92,0.0235,26.0,52.0,126.0,1343.68,235.0,1.7577
ebola,patient_ai,93,0.0115,13.0,62.0,214.0,672.6000000000001,115.0,1.7793
ebola,patient_ai,94,0.0057,11.0,15.0,91.0,292.59999999999997,57.0,1.78974
ebola,patient_ai,95,0.0051,13.0,14.0,68.0,285.0,51.0,1.79082
ebola,patient_ai,96,0.0474,42.0,44.0,303.0,2669.12,474.0,1.71468
ebola,patient_ai,97,0.0316,34.0,34.0,174.0,1796.6399999999999,316.0,1.74312
ebola,patient_ai,98,0.0078,22.0,16.0,69.0,468.91999999999996,78.0,1.7859600000000002
ebola,patient_ai,99,0.0063,14.0,22.0,74.0,340.48,63.0,1.7886600000000001
ebola,patient_ai,100,0.005,13.0,10.0,61.0,278.91999999999996,50.0,1.791
ebola,patient_ai,101,0.0158,24.0,18.0,142.0,945.44,158.0,1.7715600000000002
ebola,patient_ai,102,0.0068,16.0,17.0,88.0,373.91999999999996,68.0,1.7877600000000002
ebola,patient_ai,103,0.0065,17.0,25.0,64.0,340.48,65.0,1.7883
ebola,patient_ai,104,0.0188,26.0,21.0,116.0,1073.8799999999999,188.0,1.7661600000000002
ebola,patient_ai,105,0.0058,13.0,26.0,52.0,312.35999999999996,58.0,1.7895600000000003
ebola,patient_ai,106,0.0143,24.0,14.0,109.0,807.8799999999999,143.0,1.7742600000000002
