disease,scenario,replication,cumulative_attack_rate,peak_incidence,peak_timing,epidemic_duration,hospital_days,total_infections,R_eff_final
measles,baseline,193,0.5835,784.0,58.0,335.0,7719.347999999999,5835.0,6.2475
measles,baseline,194,0.5785,815.0,58.0,275.0,7674.888000000001,5785.0,6.3225
measles,baseline,195,0.5851,794.0,60.0,321.0,7861.464,5851.0,6.2235
measles,baseline,196,0.5807,805.0,55.0,279.0,7746.96,5807.0,6.2895
measles,baseline,197,0.5755,731.0,60.0,310.0,7637.1359999999995,5755.0,6.3675
measles,baseline,198,0.5733,772.0,57.0,293.0,7623.408,5733.0,6.4005
measles,baseline,199,0.5753,789.0,53.0,269.0,7755.071999999999,5753.0,6.3705
measles,patient_ai,0,0.4792,606.0,55.0,364.0,6365.736000000001,4792.0,7.8105
measles,patient_ai,1,0.4628,691.0,59.0,308.0,6151.392,4628.0,8.058
measles,patient_ai,2,0.4523,642.0,59.0,276.0,6035.172,4523.0,8.2155
measles,patient_ai,3,0.4849,583.0,62.0,333.0,6401.928,4849.0,7.7265
measles,patient_ai,4,0.4764,581.0,65.0,339.0,6313.32,4764.0,7.854
measles,patient_ai,5,0.469,616.0,65.0,302.0,6206.772,4690.0,7.965
measles,patient_ai,6,0.4652,628.0,62.0,364.0,6164.496,4652.0,8.019
measles,patient_ai,7,0.4767,558.0,65.0,364.0,6292.416,4767.0,7.845
measles,patient_ai,8,0.4914,611.0,64.0,364.0,6505.356,4914.0,7.6155
measles,patient_ai,9,0.4834,627.0,69.0,351.0,6403.955999999999,4834.0,7.749
measles,patient_ai,10,0.4669,591.0,57.0,364.0,6142.968,4669.0,7.9845
measles,patient_ai,11,0.4746,603.0,61.0,338.0,6311.916,4746.0,7.881
measles,patient_ai,12,0.4489,582.0,65.0,336.0,5989.464,4489.0,8.2665
measles,patient_ai,13,0.4809,597.0,66.0,350.0,6389.136,4809.0,7.7865
measles,patient_ai,14,0.4871,585.0,62.0,302.0,6423.768,4871.0,7.6935
measles,patient_ai,15,0.4646,603.0,60.0,267.0,6200.376,4646.0,8.031
measles,patient_ai,16,0.4572,607.0,54.0,259.0,6012.084000000001,4572.0,8.142
measles,patient_ai,17,0.4806,629.0,58.0,285.0,6379.464,4806.0,7.791
measles,patient_ai,18,0.477,592.0,57.0,288.0,6372.912,4770.0,7.845
measles,patient_ai,19,0.4736,565.0,57.0,364.0,6258.876,4736.0,7.89
measles,patient_ai,20,0.4759,634.0,60.0,274.0,6301.931999999999,4759.0,7.8615
measles,patient_ai,21,0.4823,618.0,56.0,295.0,6400.68,4823.0,7.7655
measles,patient_ai,22,0.4918,668.0,65.0,357.0,6503.1720000000005,4918.0,7.623
measles,patient_ai,23,0.471,600.0,60.0,301.0,6207.084000000001,4710.0,7.935
measles,patient_ai,24,0.449,649.0,58.0,224.0,6022.692,4490.0,8.265
measles,patient_ai,25,0.4695,610.0,65.0,296.0,6321.900000000001,4695.0,7.9575
measles,patient_ai,26,0.4667,612.0,67.0,348.0,6174.792,4667.0,7.9995
measles,patient_ai,27,0.4766,604.0,60.0,304.0,6300.84,4766.0,7.851
measles,patient_ai,28,0.4679,641.0,60.0,247.0,6172.763999999999,4679.0,7.9815
measles,patient_ai,29,0.4756,581.0,58.0,299.0,6306.612,4756.0,7.866
measles,patient_ai,30,0.4505,570.0,61.0,342.0,6003.036,4505.0,8.2425
measles,patient_ai,31,0.4711,624.0,61.0,331.0,6208.8,4711.0,7.9335
measles,patient_ai,32,0.4598,586.0,77.0,327.0,6124.871999999999,4598.0,8.103
measles,patient_ai,33,0.4631,543.0,64.0,364.0,6167.304,4631.0,8.052
measles,patient_ai,34,0.4768,638.0,56.0,364.0,6254.664,4768.0,7.8435
measles,patient_ai,35,0.4886,646.0,59.0,339.0,6470.256,4886.0,7.671
measles,patient_ai,36,0.4596,553.0,58.0,356.0,6124.56,4596.0,8.106
measles,patient_ai,37,0.4804,604.0,61.0,298.0,6380.7119999999995,4804.0,7.794
measles,patient_ai,38,0.4508,556.0,61.0,362.0,5928.312000000001,4508.0,8.238
measles,patient_ai,39,0.4758,622.0,59.0,362.0,6335.939999999999,4758.0,7.863
measles,patient_ai,40,0.4628,659.0,60.0,303.0,6095.232,4628.0,8.058
measles,patient_ai,41,0.4611,589.0,57.0,364.0,6133.920000000001,4611.0,8.0805
measles,patient_ai,42,0.4686,618.0,61.0,298.0,6136.416,4686.0,7.971
measles,patient_ai,43,0.4856,616.0,57.0,321.0,6462.768,4856.0,7.716
measles,patient_ai,44,0.4705,629.0,61.0,293.0,6288.047999999999,4705.0,7.9425
measles,patient_ai,45,0.466,579.0,64.0,364.0,6227.052000000001,4660.0,8.0055
measles,patient_ai,46,0.4516,545.0,60.0,295.0,6035.639999999999,4516.0,8.226
measles,patient_ai,47,0.4538,591.0,62.0,293.0,5976.672,4538.0,8.193
measles,patient_ai,48,0.4688,638.0,59.0,287.0,6197.723999999999,4688.0,7.968
measles,patient_ai,49,0.474,606.0,64.0,322.0,6292.103999999999,4740.0,7.89
measles,patient_ai,50,0.4838,611.0,55.0,303.0,6456.371999999999,4838.0,7.743
measles,patient_ai,51,0.4575,620.0,52.0,254.0,6074.328,4575.0,8.1375
measles,patient_ai,52,0.4738,574.0,66.0,359.0,6275.879999999999,4738.0,7.893
measles,patient_ai,53,0.4444,603.0,69.0,301.0,5857.799999999999,4444.0,8.334
measles,patient_ai,54,0.4711,579.0,63.0,355.0,6222.216,4711.0,7.9335
measles,patient_ai,55,0.4675,571.0,63.0,334.0,6108.804,4675.0,7.9875
measles,patient_ai,56,0.4733,549.0,60.0,364.0,6308.484,4733.0,7.899
measles,patient_ai,57,0.4841,624.0,59.0,294.0,6380.7119999999995,4841.0,7.7385
measles,patient_ai,58,0.4554,592.0,54.0,308.0,6004.284,4554.0,8.169
measles,patient_ai,59,0.4671,650.0,63.0,364.0,6194.603999999999,4671.0,7.9815
measles,patient_ai,60,0.4707,566.0,59.0,364.0,6207.396,4707.0,7.935
measles,patient_ai,61,0.4495,584.0,65.0,341.0,6001.008,4495.0,8.2575
measles,patient_ai,62,0.4829,676.0,60.0,276.0,6399.12,4829.0,7.7565
measles,patient_ai,63,0.4655,580.0,64.0,303.0,6115.8240000000005,4655.0,8.0175
measles,patient_ai,64,0.4658,576.0,56.0,286.0,6205.68,4658.0,8.013
measles,patient_ai,65,0.4692,588.0,59.0,325.0,6166.992,4692.0,7.962
measles,patient_ai,66,0.4731,639.0,61.0,345.0,6239.376,4731.0,7.9035
measles,patient_ai,67,0.4707,571.0,55.0,361.0,6181.032,4707.0,7.9395
measles,patient_ai,68,0.4757,546.0,64.0,364.0,6383.832,4757.0,7.863
measles,patient_ai,69,0.4667,550.0,70.0,295.0,6218.94,4667.0,7.9995
measles,patient_ai,70,0.4552,582.0,53.0,251.0,6017.388000000001,4552.0,8.172
measles,patient_ai,71,0.4563,590.0,60.0,304.0,5931.744,4563.0,8.1555
measles,patient_ai,72,0.4869,614.0,58.0,295.0,6474.468,4869.0,7.6965
measles,patient_ai,73,0.464,629.0,64.0,297.0,6202.092,4640.0,8.04
measles,patient_ai,74,0.4727,625.0,58.0,351.0,6329.076,4727.0,7.9095
measles,patient_ai,75,0.4514,655.0,65.0,253.0,5984.16,4514.0,8.229
measles,patient_ai,76,0.4658,548.0,64.0,292.0,6243.275999999999,4658.0,8.013
measles,patient_ai,77,0.4803,686.0,61.0,311.0,6396.156,4803.0,7.7955
measles,patient_ai,78,0.484,616.0,57.0,345.0,6445.295999999999,4840.0,7.74
measles,patient_ai,79,0.4778,582.0,57.0,364.0,6394.908,4778.0,7.8255
measles,patient_ai,80,0.4729,588.0,63.0,349.0,6305.6759999999995,4729.0,7.9065
measles,patient_ai,81,0.4644,579.0,60.0,364.0,6181.344000000001,4644.0,8.0265
measles,patient_ai,82,0.4734,607.0,57.0,364.0,6235.6320000000005,4734.0,7.8975
measles,patient_ai,83,0.4894,634.0,57.0,364.0,6493.812,4894.0,7.6545
measles,patient_ai,84,0.477,596.0,61.0,248.0,6385.548,4770.0,7.845
measles,patient_ai,85,0.476,603.0,57.0,364.0,6229.703999999999,4760.0,7.848
measles,patient_ai,86,0.4668,621.0,53.0,265.0,6248.111999999999,4668.0,7.998
measles,patient_ai,87,0.4636,565.0,66.0,364.0,6107.556,4636.0,8.0445
measles,patient_ai,88,0.463,577.0,66.0,346.0,6101.784,4630.0,8.055
measles,patient_ai,89,0.4722,566.0,57.0,305.0,6246.084000000001,4722.0,7.917
measles,patient_ai,90,0.4629,601.0,60.0,304.0,6142.499999999999,4629.0,8.0565
measles,patient_ai,91,0.471,667.0,61.0,323.0,6215.508,4710.0,7.935
measles,patient_ai,92,0.4776,663.0,56.0,267.0,6341.8679999999995,4776.0,7.836
measles,patient_ai,93,0.4692,558.0,64.0,364.0,6288.6720000000005,4692.0,7.95
measles,patient_ai,94,0.461,641.0,53.0,299.0,6068.400000000001,4610.0,8.085
measles,patient_ai,95,0.4882,643.0,63.0,309.0,6536.4,4882.0,7.677
measles,patient_ai,96,0.4978,622.0,54.0,303.0,6674.459999999999,4978.0,7.533
measles,patient_ai,97,0.4624,598.0,57.0,349.0,6122.688,4624.0,8.064
measles,patient_ai,98,0.4866,619.0,60.0,362.0,6450.2880000000005,4866.0,7.701
measles,patient_ai,99,0.4636,574.0,55.0,311.0,6062.16,4636.0,8.046
measles,patient_ai,100,0.4649,638.0,56.0,364.0,6184.620000000001,4649.0,8.0235
measles,patient_ai,101,0.4916,617.0,54.0,364.0,6549.348,4916.0,7.623
measles,patient_ai,102,0.4687,640.0,55.0,347.0,6240.000000000001,4687.0,7.9695
measles,patient_ai,103,0.4443,617.0,56.0,351.0,5784.636,4443.0,8.3355
measles,patient_ai,104,0.4627,563.0,56.0,353.0,6094.451999999999,4627.0,8.0595
measles,patient_ai,105,0.4484,601.0,60.0,324.0,5941.728,4484.0,8.274
measles,patient_ai,106,0.4667,598.0,66.0,319.0,6192.732000000001,4667.0,7.9995
measles,patient_ai,107,0.4672,602.0,59.0,281.0,6171.204,4672.0,7.992
measles,patient_ai,108,0.4877,613.0,61.0,319.0,6426.888,4877.0,7.6845
measles,patient_ai,109,0.4803,612.0,62.0,361.0,6348.264,4803.0,7.7955
measles,patient_ai,110,0.492,582.0,59.0,337.0,6464.016,4920.0,7.62
measles,patient_ai,111,0.4462,543.0,60.0,343.0,5867.160000000001,4462.0,8.307
